prior_90d_spend,tank_size_gallons,customer_tenure_months,freshwater_customer,saltwater_customer,treatment,first_14d_spend,water_test_count_30d,repeat_visit_30d,livestock_purchase_30d,maintenance_subscription_30d,true_long_term_value_180d,surrogate_index
77.72188516982646,55,2.513200819299737,0,1,1,98.80725469030537,0,1,1,1,536.7121914976343,535.1503501725227
41.1432317403228,20,8.104676857206499,0,1,1,81.06873289268377,1,1,1,1,402.2424360927578,516.1576863799555
8.874189418370438,20,12.157512583349257,0,1,0,0.0,0,1,1,1,376.81598973924423,406.70019628504
66.13311199939925,120,2.450178542650291,1,0,1,101.98804777924889,4,0,1,0,399.2469618179709,341.30385068054136
34.56960117097271,10,8.504536338338957,1,0,0,16.576342772335597,1,1,1,0,260.6832136205326,239.1793423496878
121.61145327374507,20,8.137369567159094,1,0,1,81.67423039558336,1,1,1,1,402.53177471288654,514.279520129205
42.194298701361724,40,5.1465193112582845,1,0,0,14.753100701197756,2,0,0,0,73.78708761116829,144.00363942417448
34.10152612119229,29,5.330438054133459,0,1,1,79.03763731043655,1,1,0,1,415.4898312735759,437.46207518937223
40.07618658666586,75,16.652813354960305,1,0,0,40.41039746149092,0,1,1,1,335.9617070234059,445.84817664463657
49.60733657296881,120,33.430702945325486,1,0,0,31.287952082846438,1,0,1,1,371.63293723034036,402.17410805193265
169.8601674184306,40,1.8793952935721925,0,1,1,89.07382971266001,0,1,1,1,576.207455707748,557.5572170094612
15.380750748808353,29,30.118244746371182,0,1,1,48.53375207049696,1,0,1,1,399.52911746452327,415.80492602024907
7.830923294496834,20,11.869235895090853,0,1,0,47.21069235640088,0,1,1,0,255.27620688524598,286.79116978974844
124.42005131047661,40,0.9268468273372139,1,0,0,55.12603417768148,0,0,0,1,322.8996862937982,332.8101977406368
65.77786347718272,20,24.606102920223492,1,0,1,50.64744654875902,0,1,0,0,145.3982935890907,201.38189957579715
95.64748261987738,40,13.590107396958974,0,1,1,87.4069962729591,2,1,1,1,575.2047392866532,562.7275387798193
23.78714195055405,40,29.392631573941756,1,0,0,30.035568821731577,2,1,0,0,197.0974813681268,207.5976270807384
22.5412260820677,29,2.8981902851278973,1,0,0,81.68866194367443,0,0,0,0,225.24162268837046,172.09985095444534
11.360068376901227,20,12.573121324910199,1,0,1,55.94023645886627,2,1,1,0,337.3648517222969,318.7626693165648
82.85846033272958,40,28.05979621122984,1,0,0,82.77230526617615,1,0,1,1,531.6196834884539,443.33328347421434
50.4924560376285,40,8.550107823546206,1,0,1,20.282124615462706,0,0,1,1,223.59529588217248,349.29556460948265
114.48777848891098,40,16.38767661634429,1,0,0,67.352671269995,2,1,1,1,464.01010122457564,523.3745742973467
22.876338056447363,10,15.897970573537297,0,1,0,47.56347952902439,0,1,0,0,225.11953562632488,221.92588900615476
74.19782521201057,40,24.090019048152346,1,0,0,23.99234064979964,2,0,1,0,206.21350174064256,235.74568515400858
100.06260961447066,40,20.104554283664097,1,0,1,64.21574121717366,2,0,1,0,268.068298729329,298.6652424271637
43.02143063409276,20,6.49953029313604,1,0,0,15.951846713540622,0,1,1,0,218.95048777966105,217.10139472725587
40.04224313243984,75,0.6274423434328682,1,0,1,67.70114801391772,1,1,1,1,495.44779170431923,507.970184965161
61.14814689142438,120,14.790098149333124,1,0,1,108.92350083855348,0,1,1,1,565.497662178834,535.757682518943
123.29720976440649,10,0.12276852238409268,0,1,1,68.9236658285455,2,1,0,1,460.5920772515222,460.29281486463935
77.11860529723569,40,14.009589995015663,1,0,1,86.79473440734297,4,1,1,1,541.3814807345057,549.9266626882071
146.54639875540624,20,20.93151072866292,1,0,1,38.359135368904255,2,1,1,1,444.93420860277774,491.36420877533124
42.648482108187196,55,40.90354466897061,1,0,1,35.765044997796366,1,1,1,1,449.00864432934543,447.77580631112323
74.36845567079499,20,19.654246827982305,1,0,1,57.90691101273014,1,1,1,0,293.4138001533837,310.79134040456324
81.36748270012579,55,2.0717771107579885,0,1,0,38.72421105712786,0,0,0,0,64.08162011795572,160.9344916470737
127.8765341030025,20,25.202475828579367,1,0,1,49.42540435335697,1,1,0,0,211.38070161360346,241.22808016314676
19.587073730759474,40,13.795087894974959,0,1,1,66.75008384807263,0,1,1,1,495.4599162169173,493.84337928720015
108.80681958119376,55,5.955192234844168,1,0,0,28.215823530534692,1,1,1,1,475.56967997943514,454.40038722835055
160.75013518932008,40,54.10356322364238,1,0,0,93.66919144751307,1,1,1,1,477.0043424881227,538.4245752856135
27.85108116826519,55,17.685764466985848,1,0,0,56.43713357312748,0,1,1,0,329.6786806301603,301.26459290724347
2.211485968105925,29,18.45244610052212,1,0,1,21.27530409486533,0,1,0,0,136.72974560290092,154.76932657130973
256.3588119851105,120,2.0229037303872506,0,1,1,146.71013867780752,0,1,1,1,710.3942792324137,603.4524059893333
83.97802342685621,29,32.59086126071963,1,0,1,53.949652920327104,0,0,1,1,343.867241779133,378.2464222798389
64.23081899285218,20,53.274528514862176,1,0,1,70.84833682886168,0,0,1,1,397.7761330925159,401.0987768088913
200.57612046093746,10,19.655990928101588,1,0,0,78.12692398748914,1,0,0,1,393.1041281139618,379.1432291176006
171.01672826507877,40,4.185276833708774,1,0,0,77.32600713961024,2,0,1,1,497.37479925187915,484.088092293591
11.175289580619886,55,3.301215953880692,1,0,1,87.54390341196861,0,0,0,0,197.24844224306773,187.92281049448457
88.33670549804239,29,1.8193822567195084,1,0,1,84.87892606656207,0,1,1,1,547.2192237798446,489.51331496990866
67.38079139232953,75,8.813779503710748,1,0,1,77.4231574473024,1,0,0,0,257.79260251345005,213.50287839033618
43.47542512216929,75,5.998955207072678,1,0,1,75.59109200956294,1,1,1,1,560.1894439693646,516.7661634919532
53.477116324635546,20,8.004888271894957,1,0,0,42.34408894346418,0,1,1,0,228.23947168785077,260.0565965596329
129.64989872421518,20,25.188780773072537,0,1,0,83.59793444026307,0,0,1,1,429.82354045767016,465.99051149512235
45.50945378044169,10,13.307576715825585,1,0,1,33.37900143727356,3,0,1,1,367.72706040406024,401.26389309934837
147.4866614490969,40,7.94401099950684,1,0,0,69.30492748912776,0,0,1,0,239.88090949461173,278.4329980884823
57.82870719185804,40,1.1780722385499436,1,0,1,73.55604027948053,0,0,0,1,378.12735069674426,334.10230365578485
74.68237453449491,40,17.926865013141153,1,0,1,23.180826209548506,2,1,1,1,484.88825154367845,452.56366428800015
9.070527390733373,20,3.1602445989641006,1,0,0,48.339780419591335,2,0,0,0,119.92821828257416,166.29084312692387
61.27951597189921,10,12.957129796367592,1,0,1,56.264731660354755,0,1,0,0,193.58549854075767,199.70530706182663
120.33852275861658,40,4.938782662018754,1,0,1,57.69695302506581,1,1,0,1,376.5939904514452,410.03026413855565
15.109602748478299,20,17.469789330631546,0,1,1,37.05882799698577,1,0,0,0,236.41982524087757,150.39756032510292
62.76580442469612,40,1.6860403815942786,1,0,0,63.53710010237421,2,0,0,1,372.4649516930868,370.56735749484193
22.904136692470285,29,3.886980985733529,1,0,0,12.992804630767818,0,0,0,0,20.30325507946671,82.97785497991244
61.069216828681746,29,6.586243013258433,1,0,1,21.921796303047046,0,0,1,1,358.3215696677756,346.7419861206692
