monthly_fee,tenure_months,usage_hours_30d,support_tickets_90d,days_since_last_login,plan_tier,autopay,price_sensitivity,prior_discounts,treatment,outcome_90d_revenue,true_cate
16.34632186570635,49.21235562895549,10.29094392848536,0,30.45705986562468,1,1,0.23337809008453178,1,0,36.210809111646356,-18.194587559480752
11.762894709944149,19.27189367155754,20.13794597787303,0,8.45060927229573,0,0,0.5338568078767534,0,0,13.498474853408023,15.330315336018362
31.291436602876413,30.551393464326384,5.9837095106421385,0,24.32521461606932,1,1,0.402616443166467,0,1,11.61054607685913,-10.413592402010433
13.73633281927276,11.596086320077628,10.46818326259126,0,11.086935133716025,0,1,0.5202156338390541,0,0,13.695545437846034,5.053335137553979
17.95579294603268,12.672927277670949,18.525252686367644,1,7.182210921549498,0,1,0.14012121874864567,0,1,36.71740836932827,3.0987034572569683
27.964248801558263,7.948030536472315,25.866761856390113,0,26.673764226364476,1,0,0.47729641486595153,1,1,16.814117108018195,4.886169931858048
37.08603906442923,10.971165336176476,24.838723815731342,0,10.749360981788422,1,0,0.36673305479235246,1,0,70.65775768523005,6.039892683440698
25.06952475529412,20.102728255806092,18.36135899141301,1,51.31968871867567,2,1,0.2501496738816251,0,0,7.857695436669161,-15.504632958897659
22.854925478086702,6.739152673880344,13.530601624268593,1,2.537179464772931,1,0,0.7138656454058289,3,0,31.73438754809074,16.135124212904266
21.011764359984376,20.29300539197208,4.612271412177681,0,19.28794206255556,1,0,0.4543819524394856,0,0,6.467270104412256,0.12627186495976517
13.349995569227406,15.276744130410941,6.18307437133047,0,16.511343960170006,0,0,0.6446414084833327,1,0,-1.257981006884314,6.510669026565882
20.125085378792832,32.07014526926345,7.397951589678148,0,3.4187999515951617,1,1,0.5038293906902703,0,0,46.724372401464436,0.5461160026369569
19.989320121860416,22.958551001804636,18.379087511378334,0,17.508829723773637,1,1,0.3739187079285014,0,1,33.142450061018266,-1.2910106205163534
16.466685830805886,5.0178467527792785,2.586628676598483,0,31.515301543143668,0,1,0.5059015710142196,0,0,-0.8723745282706847,-4.962639437434607
16.581034988717143,27.44210943646181,3.57308424877598,1,7.460818299162369,0,0,0.30023876937353455,0,1,23.605873262301003,4.277882013489546
13.745940839308057,9.047891265935046,2.976941704160777,3,10.77624293223033,0,0,0.34792172577609193,0,1,22.928150865695628,11.252391528967793
29.18668581560984,19.200842055042557,6.820531788791151,1,14.050141667364029,1,0,0.6865080982909694,2,0,6.045636511564352,3.4841084399172235
16.81072380125672,23.044509302233145,41.142254634318576,1,6.612099959628563,0,0,0.5029263692151293,0,1,67.21142707005329,25.35104725544439
20.95863989776482,72.83784205122744,2.078200031844444,0,17.89050239194883,0,1,0.23669344710283174,0,0,45.12793776331806,-15.777040819039334
31.90405578675906,16.59180074663835,36.8710022005797,0,24.950185562646865,1,0,0.3809145328383585,1,1,59.48599635665459,6.4164973217809465
24.656640228327348,14.570881008301527,37.61413272644985,0,4.459796715869933,1,1,0.3700621158422087,0,0,62.52506293628259,11.716526454046543
12.055753623360827,41.70989649415688,18.710535802935514,0,21.121062830333614,0,1,0.5024751383751894,0,1,26.117516475625603,0.9832972763635697
10.40459113336315,28.08121419015484,16.76640539634531,0,43.23920187971758,0,1,0.29631914378341334,0,0,-1.5818183241766404,-9.935480078793928
20.51927138780477,11.572853600309417,47.23579011299552,0,2.6807316296810764,1,0,0.6576694867169725,0,0,55.975011269721634,35.33472098044119
21.04217044048894,14.331332610685147,25.45476183683504,0,1.2014885456223448,1,0,0.31133372315394253,0,0,58.98855724381008,12.654123787503
21.757180308320635,11.603179530151056,18.495742123763648,2,30.42883247513937,1,0,0.18271849096077006,0,0,8.144999737329442,1.8405122787353787
29.458225481478916,2.0528416318790654,30.23900559450157,1,9.961739981587797,2,1,0.5320268744306497,0,0,60.86697471844256,11.610707778318146
19.012707937643984,15.081756085959325,2.599559004730696,1,13.388565309477118,0,1,0.7892225213791606,3,1,12.370030475322281,-0.8494281172093476
31.492714629915458,11.397583305306814,60.16742433849747,0,9.344699954313192,1,0,0.8695201715933255,3,0,86.99148787664309,32.976679573775016
