uplift_decile,subscribers,avg_pred_cate,avg_true_cate,avg_90d_revenue,treatment_rate
1,360,17.849940650864156,19.42557771671974,57.612400477762236,0.5055555555555555
2,360,12.237135585456713,12.712552251231202,48.19762760953048,0.525
3,360,9.362756557809446,9.936931830480754,42.377122351572254,0.4638888888888889
4,360,7.270029006473665,7.145610461836836,37.655703480531706,0.475
5,360,5.455741305228418,5.0362631040681265,35.23380788115445,0.5
6,360,3.588045512242841,3.2401494818991314,35.556183888879886,0.4777777777777778
7,360,1.773613919367814,0.8774879668682023,33.08684146580825,0.5055555555555555
8,360,-0.17100936733600985,-0.9464226924343239,33.70822145574633,0.5
9,360,-2.4585700755112976,-3.4067903959780095,30.563338747626364,0.5194444444444445
10,360,-6.459054964211344,-8.36271071072888,22.588845453238072,0.49722222222222223
